; Gadget version 2.3.7 running on mfri-gadget Wed Jul 27 17:21:40 2022
; Predation output file for the following predators igfs
; Consuming the following preys lingmat
; Printing the following information at the end of each timestep
; year-step-area-pred length-prey length-biomass consumed
1986    1          1       len1      len64          0
1986    1          1       len1      len68          0
1986    1          1       len1      len72          0
1986    1          1       len1      len76          0
1986    1          1       len1      len80          0
1986    1          1       len1      len84          0
1986    1          1       len1      len88          0
1986    1          1       len1      len92          0
1986    1          1       len1      len96 1.87267e-10
1986    1          1       len1     len100 2.23623e-09
1986    1          1       len1     len104 2.26855e-08
1986    1          1       len1     len108 1.95548e-07
1986    1          1       len1     len112 1.4326e-06
1986    1          1       len1     len116 8.92147e-06
1986    1          1       len1     len120 4.72349e-05
1986    1          1       len1     len124 0.000212652
1986    1          1       len1     len128 0.000814163
1986    1          1       len1     len132 0.00265121
1986    1          1       len1     len136 0.00734371
1986    1          1       len1     len140  0.0173049
1986    1          1       len1     len144  0.0346934
1986    1          1       len1     len148  0.0591814
1986    1          1       len1     len152   0.085905
1986    1          1       len1     len156   0.106115
1986    2          1       len1      len20          0
1986    2          1       len1      len24          0
1986    2          1       len1      len28          0
1986    2          1       len1      len32          0
1986    2          1       len1      len36          0
1986    2          1       len1      len40          0
1986    2          1       len1      len44          0
1986    2          1       len1      len48          0
1986    2          1       len1      len52          0
1986    2          1       len1      len56          0
1986    2          1       len1      len60          0
1986    2          1       len1      len64          0
1986    2          1       len1      len68          0
1986    2          1       len1      len72          0
1986    2          1       len1      len76          0
1986    2          1       len1      len80          0
1986    2          1       len1      len84          0
1986    2          1       len1      len88          0
1986    2          1       len1      len92          0
1986    2          1       len1      len96          0
1986    2          1       len1     len100 1.11812e-10
1986    2          1       len1     len104 1.13427e-09
1986    2          1       len1     len108 9.77742e-09
1986    2          1       len1     len112 7.16298e-08
1986    2          1       len1     len116 4.46074e-07
1986    2          1       len1     len120 2.36175e-06
1986    2          1       len1     len124 1.06326e-05
1986    2          1       len1     len128 4.07081e-05
1986    2          1       len1     len132 0.00013256
